Aircraft model,Engines,First flight
Lascurain Aura,piston (2),1957
Latécoère 631,piston (6),1942
Learjet 23,jet (2),1963
Learjet 24,jet (2),1966
Learjet 25,jet (2),1966
Learjet 28 / 29,jet (2),1977
Learjet 31,jet (2),1987
Learjet 35 / 36,jet (2),1973
Learjet 45,jet (2),1995
Learjet 55,jet (2),1979
Learjet 60,jet (2),1990
Let L-410,turboprop (2),1969
Let L-610,turboprop (2),1988
Lioré et Olivier 21,piston (2),1929
Lioré et Olivier H.242,piston (4),1929
Lisunov Li-2,piston (2),1942
Lockheed 18 Lodestar,piston (2),1939
Lockheed C-130 & L-100 Hercules,turboprop (4),1954
Lockheed C-130 Hercules,turboprop (4),1954
Lockheed C-141 Starlifter,jet (4),1963
Lockheed C-5 Galaxy,jet (4),1968
Lockheed Hudson,piston (2),1938
Lockheed L-049/149 Constellation,piston (4),1943
Lockheed L-100 Hercules,turboprop (4),1964
Lockheed L-1011 TriStar,jet (3),1970
Lockheed L-1049 Super Constellation,piston (4),1950
Lockheed L-1329 Jetstar,jet (4),1957
Lockheed L-14 Super Electra,piston (2),1937
Lockheed L-1649 Starliner,piston (4),1956
Lockheed L-188 Electra,turboprop (4),1957
Lockheed L-649/749 Constellation,piston (4),1947
Lockheed P-2 Neptune,piston (2),1945
Lockheed P-3 Orion,turboprop (4),1958
Lockheed Ventura,piston (2),1941
Macchi M.C.100,piston (3),1939
Macchi M.C.94,piston (2),1935
Martin 2-0-2,piston (2),1946
Martin 4-0-4,piston (2),1950
Martin M-130,piston (4),1934
Martin Mars,piston (4),1942
Martin P5M Marlin,piston (2),1948
Martin PBM-5 Mariner,piston (4),1939
MBB HFB-320 Hansa Jet,jet (2),1964
McDonnell Douglas C-17 Globemaster III,jet (4),1991
McDonnell Douglas DC-10,jet (3),1970
McDonnell Douglas DC-8,jet (4),1958
McDonnell Douglas DC-9-10/15,jet (2),1965
McDonnell Douglas DC-9-20,jet (2),1968
McDonnell Douglas DC-9-30,jet (2),1966
McDonnell Douglas DC-9-40,jet (2),1967
McDonnell Douglas DC-9-50,jet (2),1974
McDonnell Douglas DC-9/MD-80s/MD90/B717,jet (2),1965
McDonnell Douglas MD-11,jet (3),1990
McDonnell Douglas MD-80,jet (2),1979
McDonnell Douglas MD-90,jet (2),1993
Miles Marathon,piston (4),1946
Mitsubishi MRJ,jet (2),2015
Mitsubishi Mu-300 Diamond 1,jet (2),1978
Morane Saulnier MS.760 Paris,jet (2),1954
NAL Saras,turboprop (2),2004
NAMC YS-11,turboprop (2),1962
Nord 2501 Noratlas,piston (2),1949
Nord 260,turboprop (2),1959
Nord 262,turboprop (2),1962
