Airport name,IATA code,ICAO code
"Brisbane-Eagle Farm Airport, QLD",,
"Bronzewing Airport, WA",,YBWG
"Broome Airport, WA",BME,YBRM
"Burnie Wynyard Airport, TAS",BWT,YWYY
"Cairns Airport, QLD",CNS,YBCS
"Caloundra Airport, QLD",CUD,YCDR
"Camden Airfield, NSW",CDU,YSCN
"Canberra Airport, ACT",CBR,YSCB
"Canobie Airport, QLD",CBY,YCBE
"Chance Bay, Whitsunday Island, QLD",,
"Charleville Airport, QLD",CTL,YBCV
"Cloncurry Airport, QLD",CNJ,YCCY
"Cockatoo Island Airport, WA",,YCTI
"Coconut Island Airport, QLD",CNC,YCCT
"Coffs Harbour Airport, NSW",CFS,YSCH
"Cooktown Airport, QLD",CTN,YCKN
"Coolangatta Airport, QLD",OOL,YBCG
"Coolawanyah Airport, WA",COY,YCWY
"Cooma Airport, NSW",OOM,YCOM
"Cootamundra Airport, NSW",CMD,YCTM
"Corowa Airport, NSW",CWW,YCOR
"Daly River Airport, NT",DVR,YDMN
"Daly Waters Airport, NT",DYW,YDLW
"Darwin Airport, NT",DRW,YPDN
"Darwin RAAF Station, NT",DRW,YPDN
"Darwin-Doctor's Gully Seaplane Base, NT",,
"Deniliquin Airport, NSW",DNQ,YDLQ
"Derby Airport, WA",DRB,YDBY
"Devonport Airport, TAS",DPO,YDPO
"Douglas-Daly Experiment Station Airstrip, NT",,
"Dubbo Airport, NSW",DBO,YSDU
"East Sale AB, VIC",,YMES
"Edinburgh RAAF Station, SA",,YPED
"Emerald Airport, QLD",EMD,YEML
"Esperance Airport, WA",EPR,YESP
"Flinders Island Airport, TAS",FLS,YFLI
"Gan Gan Airport, NT",,YGAN
"Garbutt RAAF Station, QLD",TSV,YBTL
"Geraldton Airport, WA",GET,YGEL
"Gove-Nhulunbuy Airport, NT",GOV,YPGV
"Granny Smith Airport, WA",,YGRS
"Griffith Airport, NSW",GFF,YGTH
"Groote Eylandt Seaplane Base, NT",,
"Groote Island SPB, NT",,
"Guildford Airport, WA",PER,YPPH
"Hamilton Island Airport, QLD",HTI,YBHM
"Higgins Field, QLD",ABM,YBAM
"Hobart Airport, TAS",HBA,YMHB
"Hobart Cambridge Airport, TAS",,YCBG
"Horn Island Airport, QLD",HID,YHID
"Innamincka Airport, SA",INM,YINN
"Kalgoorlie Airport, WA",KGI,YPKG
"Katherine-Tindal Airport, NT",KTR,YPTN
"Kidston Airport, QLD",,YKID
"King Island Airport, TAS",KNS,YKII
"Koolan Island Airport, WA",,YKLI
"Kununurra Airport, WA",KNX,YPKU
"Lake Johnston Airport, WA",,YLJN
"Launceston Airport, TAS",LST,YMLT
"Laverton Airport, WA",LVO,YLTN
"Leongatha, VIC",,YLEG
"Leonora Airport, WA",LNO,YLEO
